,artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre, pop,R&B,country,rock, rock, Folk/Acoustic, easy listening, Dance/Electronic,set(),pop, R&B,World/Traditional, metal, blues,latin,Dance/Electronic, latin,easy listening, jazz, country,metal,Folk/Acoustic, classical, hip hop,hip hop,cat,cluster
41,Cam’ron,Oh Boy,0.24708874674656334,1.0,2002,0.7528089887640449,0.7387706855791962,0.7542633195636056,0.5454545454545454,0.7376222946931514,1.0,0.2203328509406657,0.022111910398237344,0.0,0.1809981960312688,0.8449031982030163,0.15245438633711678,"hip hop, pop",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4444444444444444,7
42,Puddle Of Mudd,She Hates Me,0.279566531769169,1.0,2001,0.7865168539325843,0.5330969267139479,0.7341383328037284,0.36363636363636365,0.7451823302697895,1.0,0.016461649782923308,0.009560433975750343,0.0,0.8797354179194228,0.5839127179377473,0.3299167285456668,"rock, metal",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7777777777777778,4
43,Daniel Bedingfield,If You're Not The One,0.38805752992083975,0.0,2002,0.651685393258427,0.660756501182033,0.5117042686156128,0.9090909090909091,0.6377112362881707,1.0,0.010853835021707675,0.5163839288641744,0.0,0.10763680096211665,0.24804791956358974,0.39765434390580257,pop,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,2
44,Daniel Bedingfield,If You're Not The One,0.38805752992083975,0.0,2002,0.651685393258427,0.660756501182033,0.5117042686156128,0.9090909090909091,0.6377112362881707,1.0,0.010853835021707675,0.5163839288641744,0.0,0.10763680096211665,0.24804791956358974,0.39765434390580257,pop,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,2
45,Outkast,The Whole World (feat. Killer Mike),0.49130530842310033,1.0,2001,0.5730337078651685,0.8096926713947991,0.844296155068319,0.18181818181818182,0.7084692163257239,1.0,0.6834298118668597,0.09813799615730145,1.3401015228426397e-06,0.00877931449188214,0.7261739223446357,0.826502333722287,"hip hop, pop",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2222222222222222,7
46,DMX,X Gon' Give It To Ya,0.28179207104481796,1.0,2007,0.7865168539325843,0.7470449172576833,0.8940790170532783,0.9090909090909091,0.8609546397865402,0.0,0.28907380607814764,0.013812566804592877,0.0,0.06061334936861095,0.6791100652476201,0.23209928927548534,"hip hop, pop",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7777777777777778,7
47,Lil Jon & The East Side Boyz,Get Low,0.5701260420427541,0.0,2002,0.5280898876404494,0.7695035460992908,0.5816121173604492,0.09090909090909091,0.6174029054254373,1.0,0.02966714905933431,0.02252175452631855,0.0,0.2074564040889958,0.08760295218739973,0.2719847247268485,"hip hop, pop",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1
48,Lil' Kim,Magic Stick,0.6654335490615553,1.0,2019,0.5280898876404494,0.851063829787234,0.469335875436924,0.18181818181818182,0.6246664690186777,1.0,0.4500723589001448,0.11883512462540248,4.5583756345177664e-05,0.296452194828623,0.4962028024387635,0.21852789858915886,"hip hop, pop, R&B",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,7
49,50 Cent,21 Questions,0.30025919718924626,1.0,2003,0.8089887640449438,0.6111111111111112,0.8029869717190975,0.5454545454545454,0.8235991698784465,0.0,0.49891461649782926,0.3575693292327062,9.512690355329949e-05,0.025496091401082385,0.9165686169643813,0.21686379548106505,"hip hop, pop",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7777777777777778,7
50,Audioslave,Like a Stone,0.48757092896057075,0.0,2002,0.8426966292134831,0.5732860520094563,0.5434805634996293,0.6363636363636364,0.7430082023915406,0.0,0.00795947901591896,0.008146471733870174,0.0,0.09404690318701141,0.5111776660605413,0.31710777553834735,"rock, metal",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2222222222222222,4
51,The Roots,The Seed (2.0),0.4174448869178167,1.0,2002,0.7078651685393258,0.7434988179669031,0.9555131871623769,0.6363636363636364,0.9009289455479791,1.0,0.022612156295224322,0.0399401299697699,0.0,0.13409500901984367,0.9925125681891112,0.3388007849793147,hip hop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6666666666666666,7
52,Chingy,Holidae In,0.542643595781714,1.0,2003,0.6853932584269663,0.8049645390070923,0.7796843554708188,0.6363636363636364,0.7216622195869158,1.0,0.28545586107091175,0.09147802907598183,0.0,0.07492483463619964,0.9732591721039683,0.6168982709239419,"hip hop, pop, R&B",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,7
53,Switchfoot,Meant to Live,0.238108453277147,0.0,2003,0.6853932584269663,0.31678486997635935,0.8983158563711472,0.18181818181818182,0.787478999901176,1.0,0.04070188133140376,0.0058718368230194695,1.6243654822335024e-06,0.40950090198436556,0.553962990694192,0.6068473533467699,"rock, pop",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4444444444444444,4
54,Will Young,Leave Right Now,0.27410506916415645,0.0,2003,0.6179775280898876,0.6052009456264775,0.4131977544751615,0.5454545454545454,0.5850380472378693,1.0,0.024602026049204057,0.14854882391129004,0.0,0.10402886349969932,0.36891646165365277,0.14527421236872812,pop,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7777777777777778,2
55,Will Young,Leave Right Now,0.27410506916415645,0.0,2003,0.6179775280898876,0.6052009456264775,0.4131977544751615,0.5454545454545454,0.5850380472378693,1.0,0.024602026049204057,0.14854882391129004,0.0,0.10402886349969932,0.36891646165365277,0.14527421236872812,pop,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7777777777777778,2
56,Kelis,Trick Me,0.25086084721376495,1.0,2003,0.7078651685393258,0.9940898345153665,0.7044804575786463,0.09090909090909091,0.8482557564976776,0.0,0.2275687409551375,0.03778844829734356,0.0003949238578680203,0.3662056524353578,0.9882340357257461,0.3126060782857749,"pop, R&B, Dance/Electronic",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4444444444444444,5
57,Robbie Williams,Radio,0.32493951167465096,0.0,2004,0.3707865168539326,0.5650118203309693,0.8675987713165978,0.45454545454545453,0.7463682182033798,0.0,0.021164978292329963,0.0033717876417240994,0.050152284263959394,0.2868310282621768,0.8641565942881592,0.4640659806937519,"pop, rock",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,5
58,Kevin Lyttle,Turn Me On,0.21313984254174906,0.0,2004,0.7528089887640449,0.6477541371158393,0.6642304840588922,0.8181818181818182,0.6737325822709754,1.0,0.023335745296671494,0.04147704545007443,0.0,0.01635598316295851,0.895175954647556,0.30669884374668505,hip hop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4444444444444444,1
59,Chingy,One Call Away,0.4413357546625856,0.0,2003,0.6853932584269663,0.7517730496453902,0.8114606503548353,0.36363636363636365,0.7208222156339559,0.0,0.28907380607814764,0.09403955487648938,0.0,0.23511725796752855,0.9882340357257461,0.6795640182454652,"hip hop, pop, R&B",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6666666666666666,1
60,N.E.R.D,She Wants To Move,0.2715535126338422,0.0,2004,0.6404494382022472,0.7529550827423168,0.8432369452388518,0.45454545454545453,0.7749283526040123,1.0,0.10021707670043417,0.0040992609690682445,0.0007553299492385787,0.28202044497895373,0.814953470959461,0.36459769810119874,hip hop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7777777777777778,1
61,Franz Ferdinand,Take Me Out,0.33417038038938857,0.0,2004,0.8651685393258427,0.1749408983451537,0.644105497299015,0.36363636363636365,0.5777744836446289,0.0,0.0262301013024602,0.0003993931028151374,0.000517766497461929,0.137702946482261,0.5229436303347952,0.295308687811605,rock,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,4
62,Kanye West,Jesus Walks,0.21752356215613264,1.0,2004,0.8202247191011236,0.6004728132387707,0.8252303781379091,0.2727272727272727,0.7820930922027868,0.0,0.54232995658466,0.6290910640865066,0.0,0.3553818400481058,0.7240346561129533,0.1809496658533998,hip hop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4444444444444444,7
63,Rihanna,Pon de Replay,0.3609361275616604,0.0,2005,0.8651685393258427,0.7683215130023641,0.6197436712212689,0.6363636363636364,0.5978357545211977,1.0,0.24565846599131697,0.00013914208148357017,0.000781725888324873,0.09561034275405894,0.49192426997539845,0.2585658215763234,"hip hop, pop, R&B",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1111111111111111,1
64,Crazy Frog,Axel F,0.15055800143339818,0.0,2005,0.7528089887640449,0.8640661938534279,0.9025526956890161,0.18181818181818182,0.8495404684257337,1.0,0.03165701881331404,0.28584660681849483,0.7035532994923858,0.052074564040889955,0.7999786073376832,0.5173040203670308,pop,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,5
